Designator,Footprint,Quantity,Value,LCSC Part #
A2,Adafruit_Feather,1,Adafruit_Feather_Generic,
"C1, C2, C4",0603,3,0.1uF,
C3,0603,1,10nF,
"C5, C6, C7, C8",0603,4,10uF,
J1,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
"J2, J3","PhoenixContact_MSTBVA_2,5_15-G-5,08_1x15_P5.08mm_Vertical",2,Conn_01x15_Socket,
"R1, R2, R4",0603,3,4.7k,
"R3, R6",0603,2,10k,
R5,0603,1,1k,
U2,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,1,NMUX1308BQ,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,
U4,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
