"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A2","1","Adafruit_Feather_Generic","","","","Module:Adafruit_Feather","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-feather.pdf"
"C1,C2,C4","3","0.1uF","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C3","1","10nF","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C5","1","10uF","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"J1","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Wuerth_693072010801","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"J2,J3","2","Conn_01x15_Socket","","","","Connector_JST:JST_EH_B15B-EH-A_1x15_P2.50mm_Vertical","~"
"R1,R2,R4","3","4.7k","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"R3","1","10k","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"R5","1","100","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"U1","1","DS3231M","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
"U2","1","NMUX1308BQ","","","","Package_DFN_QFN:DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm","https://assets.nexperia.com/documents/data-sheet/NMUX1308.pdf"
