Designator,Mid X,Mid Y,Rotation,Layer
A2,116.34,-55.77,0.0,top
C1,129.5,-107.5,270.0,top
C2,119.5,-88.225,90.0,top
C3,102.0,-62.0,270.0,top
C4,126.125,-123.0,180.0,top
C5,126.125,-125.5,180.0,top
C6,108.0,-103.15,90.0,top
C7,100.0,-107.0,90.0,top
C8,103.0,-107.0,90.0,top
J1,116.2,-122.45,180.0,top
J2,84.0,-70.44,90.0,top
J3,148.0,-71.34,90.0,top
R1,130.5,-100.825,270.0,top
R2,133.5,-100.675,270.0,top
R3,117.0,-105.5,270.0,top
R4,111.0,-88.5,270.0,top
R5,99.5,-60.5,180.0,top
R6,125.9,-118.0,180.0,top
U2,116.75,-93.1875,0.0,top
U3,123.0,-104.5,270.0,top
U4,101.0,-100.15,270.0,top
